protein_id	core_class
PDGFRB	CC4
PI16	CC4
PIK3IP1	CC4
PLXDC1	CC4
PLXNB1	CC4
PLXNB2	CC4
PODXL2	CC4
PRNP	CC4
PROCR	CC4
PRRT3	CC4
PTPRD	CC4
PTPRF	CC4
PTPRG	CC4
PTPRN	CC4
PTPRR	CC4
PTPRS	CC4
PTPRZ1	CC4
PVR	CC4
RGMA	CC4
RGMB	CC4
ROBO1	CC4
RTN4R	CC4
RTN4RL2	CC4
SCN3B	CC4
SELL	CC4
SEMA4B	CC4
SEMA4D	CC4
SEMA6A	CC4
SEMA6D	CC4
SEMA7A	CC4
SEZ6	CC4
SEZ6L	CC4
SEZ6L2	CC4
SGCE	CC4
SIRPA	CC4
SLC39A10	CC4
SLC39A12	CC4
SLITRK1	CC4
SLITRK4	CC4
SLITRK5	CC4
SORCS1	CC4
SORCS3	CC4
SORL1	CC4
SORT1	CC4
SUSD5	CC4
TFRC	CC4
TGFBR3	CC4
THY1	CC4
TMEM132A	CC4
TMEM132C	CC4
TMEM132D	CC4
TNFRSF21	CC4
TYRO3	CC4
VASN	CC4
VCAM1	CC4
VSIG4	CC4
VSTM2A	CC4
VSTM2B	CC4
ALDOA	CC5
ALDOC	CC5
ANXA5	CC5
CAMK2B	CC5
CAMK2D	CC5
CAMK2G	CC5
CANT1	CC5
CAT	CC5
CBR1	CC5
CFL1	CC5
CKB	CC5
COTL1	CC5
DDAH1	CC5
EEF1A1	CC5
ENO1	CC5
ENO2	CC5
FABP5	CC5
FKBP1A	CC5
FTL	CC5
GDI2	CC5
HBB	CC5
IDH1	CC5
IMPA1	CC5
KRT1	CC5
KRT10	CC5
KRT2	CC5
LCP1	CC5
MDH1	CC5
NME2	CC5
NPEPPS	CC5
NUTF2	CC5
PGAM1	CC5
PGK1	CC5
PGM1	CC5
PRDX1	CC5
PRDX6	CC5
SELENBP1	CC5
SH3BGRL	CC5
SOD1	CC5
TPI1	CC5
TUBB2A	CC5
YWHAZ	CC5
ACYP2	CC6
AP2B1	CC6
BASP1	CC6
CALB1	CC6
CDC5L	CC6
CYCS	CC6
DBI	CC6
ESD	CC6
FSCN1	CC6
GAPDH	CC6
GDA	CC6
GDI1	CC6
GLO1	CC6
GLOD4	CC6
GOT1	CC6
GSS	CC6
GSTP1	CC6
HBA1	CC6
HBD	CC6
HPRT1	CC6
LDHA	CC6
LDHB	CC6
MARCKS	CC6
MDH2	CC6
NDRG2	CC6
NSF	CC6
PEA15	CC6
PEBP1	CC6
PFN1	CC6
PITHD1	CC6
PRDX2	CC6
PSAT1	CC6
PVALB	CC6
QDPR	CC6
RAB1B	CC6
SH3BGRL3	CC6
SOD2	CC6
STMN1	CC6
TAGLN	CC6
TALDO1	CC6
TKT	CC6
WBP2	CC6
YWHAB	CC6
YWHAE	CC6
YWHAG	CC6
